,Preselection,bb0FatJetPNetXbb < 0.985,bb1FatJetPNetXbb < 0.985,bb0FatJetPt >= 450,bb1FatJetPt >= 450,100 â‰¤ bb0FatJetPNetMass < 150
hh4b,26.132886668701822,9.741238021269432,9.741238021269432,3.229842212852718,1.8079079879138633,1.3264044815502243
qcd,580560.9457212553,526990.5681939963,526990.5681939963,116497.59316203302,79499.22612856783,28433.573456167673
data,786252.0,719734.0,719734.0,198900.0,135455.0,44735.0
ttbar,74234.6696337026,68297.83315126215,68297.83315126215,26190.33704544169,17832.95301442781,4619.298198105504
gghtobb,261.1873205270148,136.8460413482748,136.8460413482748,45.661634706801486,31.191158478033103,27.923088788351777
vbfhtobb,35.34393192932357,15.085481267689119,15.085481267689119,4.834478115722526,3.5053596355705796,3.1062238021827207
vhtobb,115.01901766220054,58.2824503591089,58.2824503591089,18.491049129959702,14.705507988011725,10.51768026222862
tthtobb,184.33862454198245,147.25280245999645,147.25280245999645,65.91532288531803,45.33829983511231,13.841727618795012
diboson,601.4498702327961,415.5682868861145,415.5682868861145,144.15358589497302,114.24344303841876,25.406384557726923
vjets,15204.465593263712,11579.452623735015,11579.452623735015,4487.5382872675345,3375.4912825038273,937.5892747652626
